Job Title | Survey | Online
Receptionists | Higher education | Other qualification
Restaurant and catering managers | Degree or equivalent | Other qualification
Customer care occupations | Degree or equivalent | Other qualification
Civil Serv admin offcrs and assists | GCE A level or equivalent | Other qualification
Database assistants  clerks | GCSE grades A*-C or equivalent | Other qualification
Retail cashierscheckout operators | Degree or equivalent | Other qualification
Customer care occupations | Other qualification | Other qualification
Motor mechanics auto engineers | GCE A level or equivalent | Other qualification
Counter clerks | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Journalists newsppr  period eds | Degree or equivalent | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Civil engineers | Degree or equivalent | GCSE grades A*-C or equivalent
Database assistants  clerks | Other qualification | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Retail cashierscheckout operators | GCSE grades A*-C or equivalent | Other qualification
Vehicle spray painters | GCE A level or equivalent | Other qualification
Civil Serv admin offcrs and assists | Degree or equivalent | Other qualification
Retail and wholesale managers | Higher education | Degree or equivalent
Hairdressers barbers | GCE A level or equivalent | GCSE grades A*-C or equivalent
Counter clerks | Degree or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Housekprs and related occupations | Other qualification | Other qualification
Mngers and prop In other srvcs NEC | Degree or equivalent | Other qualification
Motor mechanics auto engineers | GCE A level or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Printers | GCE A level or equivalent | Other qualification
Office managers | GCE A level or equivalent | Degree or equivalent
Therapists nec | GCSE grades A*-C or equivalent | Other qualification
Security guards and rel occupations | Other qualification | Other qualification
Draughtspersons | Degree or equivalent | Degree or equivalent
Customer care managers | Degree or equivalent | Degree or equivalent
Security guards and rel occupations | Other qualification | Other qualification
Office managers | GCSE grades A*-C or equivalent | Degree or equivalent
Design and development engineers | Higher education | Degree or equivalent
Software professionals | Degree or equivalent | Degree or equivalent
Amb staff excluding paramedics | Degree or equivalent | Other qualification
Retail cashierscheckout operators | Other qualification | Other qualification
Motor mechanics auto engineers | GCE A level or equivalent | Other qualification
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Higher education | Other qualification
Prim  nurs eductn teaching profs | Higher education | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Design and development engineers | Degree or equivalent | Degree or equivalent
Call centre agents  operators | Higher education | Other qualification
Shelf fillers | GCE A level or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Chartered and certified accountants | Degree or equivalent | Degree or equivalent
Sales and retail assistants | Degree or equivalent | Other qualification
Business  related assoc profs nec | Degree or equivalent | Other qualification
Plant and machine operatives nec | GCSE grades A*-C or equivalent | Other qualification
educal assistants | Higher education | Degree or equivalent
educal assistants | Degree or equivalent | Degree or equivalent
Clergy | Degree or equivalent | Other qualification
Officers nongov organisations | Higher education | Other qualification
Pharmaceutical dispensers | GCE A level or equivalent | Degree or equivalent
Pipe fitters | GCSE grades A*-C or equivalent | Other qualification
Electricians electrical fitters | GCE A level or equivalent | Other qualification
Personnel  ind relations offs | Degree or equivalent | Other qualification
Financial institution managers | Degree or equivalent | Degree or equivalent
Social workers | Degree or equivalent | Degree or equivalent
Secondary eductn teaching prfsnals | GCE A level or equivalent | GCSE grades A*-C or equivalent
IT operations technicians | Degree or equivalent | Degree or equivalent
Weavers and knitters | GCSE grades A*-C or equivalent | Other qualification
Heavy goods vehicle drivers | Other qualification | Other qualification
Food drink  tobac process operat | GCSE grades A*-C or equivalent | Other qualification
Chartered and certified accountants | Degree or equivalent | Degree or equivalent
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Chartrd surveyors not qntity surv | Degree or equivalent | Other qualification
Financial managers  chartered secs | Degree or equivalent | Degree or equivalent
IT user support technicians | GCSE grades A*-C or equivalent | Degree or equivalent
Office managers | GCE A level or equivalent | Degree or equivalent
Office managers | Other qualification | Degree or equivalent
Sales and retail assistants | Other qualification | Other qualification
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Labrs process  plant opertns nec | Other qualification | Other qualification
Care assistants and home carers | Other qualification | Other qualification
educal assistants | Higher education | Degree or equivalent
Plastics process operatives | Higher education | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Sen officials spec interest orgs | GCE A level or equivalent | Other qualification
Elementary security occupation nec | GCSE grades A*-C or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Research and development managers | Degree or equivalent | Degree or equivalent
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Call centre agents  operators | Higher education | Other qualification
Receptionists | Higher education | Other qualification
Telephonists | Degree or equivalent | Other qualification
Fin  invest analyst  advisers | Degree or equivalent | Other qualification
Carpenters and joiners | Other qualification | Other qualification
Quality assurance technicians | GCE A level or equivalent | Degree or equivalent
Software professionals | Degree or equivalent | Degree or equivalent
Social services managers | Degree or equivalent | Other qualification
Customer care occupations | Other qualification | Other qualification
Customer care occupations | Other qualification | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Electricians electrical fitters | Higher education | Other qualification
Construction operatives nec | Degree or equivalent | Other qualification
Researchers nec | Degree or equivalent | Other qualification
Heavy goods vehicle drivers | Other qualification | Other qualification
Accnts wages clerk bookkeeper | Higher education | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Legal associate professionals | Degree or equivalent | Other qualification
Chefs cooks | Other qualification | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Clergy | Higher education | Other qualification
Car advis  voction guidnce spcils | Degree or equivalent | Other qualification
Customer care occupations | Degree or equivalent | Other qualification
Housing and welfare officers | Degree or equivalent | Degree or equivalent
Cleaners domestics | Other qualification | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | Other qualification | Other qualification
Oth good hndlng  storage occup nec | Other qualification | Other qualification
Nurses | Higher education | Degree or equivalent
Sales related occupations nec | Other qualification | Other qualification
Mngmnt cons actuar econs  statn | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Sales and retail assistants | Other qualification | Other qualification
Heavy goods vehicle drivers | Other qualification | Other qualification
Property housing and land managers | GCE A level or equivalent | Other qualification
Local gov clerical offs  assists | Degree or equivalent | Other qualification
Retail cashierscheckout operators | GCE A level or equivalent | Other qualification
Construction trades nec | Other qualification | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Prim  nurs eductn teaching profs | Higher education | Other qualification
Software professionals | GCSE grades A*-C or equivalent | Degree or equivalent
Financial institution managers | Degree or equivalent | Degree or equivalent
Occupl hygnists  health sfty offs | Degree or equivalent | Other qualification
Personal assists  othr secretaries | GCE A level or equivalent | Other qualification
Civil Serv admin offcrs and assists | GCSE grades A*-C or equivalent | Other qualification
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
General office assistants or clerks | Other qualification | GCSE grades A*-C or equivalent
Sports coaches instruc  officials | Degree or equivalent | Other qualification
Shopkprs wholesale  retail dealrs | GCSE grades A*-C or equivalent | Other qualification
Financial managers  chartered secs | Degree or equivalent | Degree or equivalent
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Caretakers | Other qualification | Other qualification
Youth and community workers | Degree or equivalent | Degree or equivalent
Construction trades nec | Degree or equivalent | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Pharmacy managers | Degree or equivalent | Degree or equivalent
Pharmacists  pharmacologists | Degree or equivalent | Other qualification
Retail cashierscheckout operators | Other qualification | Other qualification
Shelf fillers | Other qualification | Other qualification
Caretakers | GCE A level or equivalent | Other qualification
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Marketing associate professionals | Higher education | Degree or equivalent
Public serv associate professionals | Degree or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Waiters waitresses | GCE A level or equivalent | Other qualification
Steel erectors | GCSE grades A*-C or equivalent | Degree or equivalent
IT strategy and planning prfsnals | Degree or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Plumb hea  ventilating engineers | GCE A level or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Nurses | Higher education | Degree or equivalent
Customer care occupations | Degree or equivalent | Other qualification
Metal working machine operatives | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Social workers | Degree or equivalent | Degree or equivalent
Medical practitioners | Degree or equivalent | Other qualification
Plastics process operatives | GCSE grades A*-C or equivalent | Other qualification
Residential and day care managers | Degree or equivalent | Other qualification
Mtl working prod  maintnce fitter | GCE A level or equivalent | Other qualification
educal assistants | Degree or equivalent | Degree or equivalent
Care assistants and home carers | Higher education | Other qualification
Science  eng technicians nec | Degree or equivalent | Other qualification
Prod works  maintenance managers | Degree or equivalent | Other qualification
Carpenters and joiners | GCE A level or equivalent | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Gardeners and groundswomen | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Registrs  sen admins ed establish | Degree or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
educal assistants | GCE A level or equivalent | Degree or equivalent
Sales representatives | Degree or equivalent | Other qualification
Retail and wholesale managers | GCSE grades A*-C or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Marketing associate professionals | GCE A level or equivalent | Degree or equivalent
educal assistants | GCE A level or equivalent | Degree or equivalent
Personnel  ind relations offs | Degree or equivalent | Other qualification
Local gov clerical offs  assists | GCE A level or equivalent | Other qualification
Housekprs and related occupations | Degree or equivalent | Other qualification
Shelf fillers | GCSE grades A*-C or equivalent | Other qualification
Civil Serv admin offcrs and assists | GCSE grades A*-C or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Post wrkr mail sort msngr courir | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Pharmaceutical dispensers | GCSE grades A*-C or equivalent | Degree or equivalent
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Medical radiographers | Degree or equivalent | Other qualification
Engineering technicians | Higher education | GCSE grades A*-C or equivalent
Dental nurses | GCE A level or equivalent | GCSE grades A*-C or equivalent
Nursing auxiliaries and assistants | Other qualification | Other qualification
Office managers | GCSE grades A*-C or equivalent | Degree or equivalent
Post wrkr mail sort msngr courir | GCE A level or equivalent | Other qualification
Marketing associate professionals | GCSE grades A*-C or equivalent | Degree or equivalent
Conservat  environ protection offs | GCSE grades A*-C or equivalent | Other qualification
Financial and accounting techs | Degree or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Housekprs and related occupations | GCSE grades A*-C or equivalent | Other qualification
Engineering technicians | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Housekprs and related occupations | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | Degree or equivalent | GCSE grades A*-C or equivalent
NCOs and other ranks | Degree or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Mtl working prod  maintnce fitter | GCE A level or equivalent | Other qualification
Sales related occupations nec | GCSE grades A*-C or equivalent | Other qualification
Social workers | Degree or equivalent | Degree or equivalent
Electricians electrical fitters | GCE A level or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Statutory examiners | GCSE grades A*-C or equivalent | Other qualification
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Post wrkr mail sort msngr courir | Degree or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Hotel and accommodation managers | GCSE grades A*-C or equivalent | Other qualification
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Elec  electronic engineer nec | GCE A level or equivalent | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Building inspectors | Degree or equivalent | Degree or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Physiotherapists | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Communication operators | Other qualification | GCSE grades A*-C or equivalent
Van drivers | GCSE grades A*-C or equivalent | Other qualification
Social workers | GCE A level or equivalent | Degree or equivalent
Road construction operatives | Other qualification | Other qualification
Pers training  ind rel mngers | GCE A level or equivalent | Other qualification
Carpenters and joiners | GCE A level or equivalent | Other qualification
Playgroup leaders  assistants | GCE A level or equivalent | Other qualification
IT strategy and planning prfsnals | Degree or equivalent | Other qualification
Chefs cooks | GCE A level or equivalent | Other qualification
Marketing associate professionals | Higher education | Degree or equivalent
Mtl working prod  maintnce fitter | GCSE grades A*-C or equivalent | Other qualification
Construction trades nec | Other qualification | Other qualification
Sales and retail assistants | Higher education | Other qualification
Physiotherapists | Degree or equivalent | Other qualification
Cleaners domestics | Other qualification | Other qualification
Kitchen and catering assistants | Other qualification | GCSE grades A*-C or equivalent
Food drink  tobac process operat | Other qualification | Other qualification
Construction operatives nec | Higher education | Other qualification
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Marketing and sales managers | GCSE grades A*-C or equivalent | Degree or equivalent
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Communication operators | GCE A level or equivalent | GCSE grades A*-C or equivalent
Graphic designers | Other qualification | Degree or equivalent
educal assistants | Other qualification | Degree or equivalent
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Waiters waitresses | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | Degree or equivalent | GCSE grades A*-C or equivalent
Countryside and park rangers | Degree or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Nurses | Higher education | Degree or equivalent
Medical and dental technicians | Degree or equivalent | Other qualification
Science  eng technicians nec | Degree or equivalent | Other qualification
Nursing auxiliaries and assistants | Other qualification | Other qualification
Taxi cab drivers and chauffeurs | Other qualification | Other qualification
Civil Serv admin offcrs and assists | Other qualification | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Design and development engineers | Degree or equivalent | Degree or equivalent
Care assistants and home carers | GCE A level or equivalent | Other qualification
Hairdressers barbers | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Call centre agents  operators | GCSE grades A*-C or equivalent | Other qualification
School secretaries | GCSE grades A*-C or equivalent | Other qualification
Quality assurance managers | Degree or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Social workers | GCE A level or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Natural environ  cons managers | Degree or equivalent | Other qualification
Telecommunications engineers | GCE A level or equivalent | Other qualification
Therapists nec | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | GCE A level or equivalent | Other qualification
Caretakers | Other qualification | Other qualification
Publicans  managrs licensed prmses | Other qualification | Other qualification
Telecommunications engineers | Higher education | Other qualification
Childminders and rel occupations | Higher education | Other qualification
educal assistants | Degree or equivalent | Degree or equivalent
educal assistants | Higher education | Degree or equivalent
Electricians electrical fitters | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Construction trades nec | GCSE grades A*-C or equivalent | Other qualification
Plastics process operatives | GCSE grades A*-C or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Bar staff | GCSE grades A*-C or equivalent | Degree or equivalent
Van drivers | GCE A level or equivalent | Other qualification
Broadcasting associate prfssnals | Degree or equivalent | Degree or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Carpenters and joiners | GCE A level or equivalent | Other qualification
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Shelf fillers | GCSE grades A*-C or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Nursing auxiliaries and assistants | Degree or equivalent | Other qualification
Electricians electrical fitters | GCE A level or equivalent | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
IT user support technicians | Other qualification | Degree or equivalent
Engineering technicians | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Childminders and rel occupations | Other qualification | Other qualification
Police offcrs sergeant and below | GCSE grades A*-C or equivalent | Other qualification
Welding trades | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Bakers flour confectioners | GCSE grades A*-C or equivalent | Other qualification
Bus and coach drivers | GCSE grades A*-C or equivalent | Other qualification
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Metal working machine operatives | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Receptionists | GCE A level or equivalent | Other qualification
Labrs process  plant opertns nec | Other qualification | Other qualification
Labrs process  plant opertns nec | Other qualification | Other qualification
Labrs process  plant opertns nec | Other qualification | Other qualification
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Engineering technicians | GCE A level or equivalent | GCSE grades A*-C or equivalent
Mngers and prop In other srvcs NEC | Higher education | Other qualification
Civil Serv admin offcrs and assists | GCE A level or equivalent | Other qualification
School secretaries | Degree or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Artists | Degree or equivalent | Degree or equivalent
educal assistants | Degree or equivalent | Degree or equivalent
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Prod works  maintenance managers | Degree or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Retail cashierscheckout operators | GCE A level or equivalent | Other qualification
Sales and retail assistants | Higher education | Other qualification
Metal working machine operatives | GCE A level or equivalent | Other qualification
Forklift truck drivers | GCSE grades A*-C or equivalent | Other qualification
Police offcrs sergeant and below | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Database assistants  clerks | Other qualification | Other qualification
Pers training  ind rel mngers | Degree or equivalent | Other qualification
School midday assistants | Other qualification | Other qualification
Nurses | Higher education | Degree or equivalent
Managers in construction | Degree or equivalent | Other qualification
Restaurant and catering managers | GCE A level or equivalent | Other qualification
Customer care occupations | GCE A level or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Forklift truck drivers | GCE A level or equivalent | Other qualification
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Youth and community workers | Other qualification | Degree or equivalent
Care assistants and home carers | Other qualification | Other qualification
Nurses | Other qualification | Degree or equivalent
Sales and retail assistants | Degree or equivalent | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
Oth good hndlng  storage occup nec | Higher education | Other qualification
Actors entertainers | GCE A level or equivalent | Other qualification
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Cleaners domestics | Other qualification | Other qualification
Van drivers | Other qualification | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Local gov clerical offs  assists | GCSE grades A*-C or equivalent | Other qualification
Insurance underwriters | GCE A level or equivalent | Degree or equivalent
Therapists nec | GCE A level or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | Degree or equivalent | Other qualification
Dispensing opticians | Degree or equivalent | Degree or equivalent
Van drivers | GCE A level or equivalent | Other qualification
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Teaching professionals nec | Degree or equivalent | Other qualification
Public service administrative profs | Degree or equivalent | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
Assemblers and routine oprtves nec | GCE A level or equivalent | Other qualification
Printing machine minders and assist | GCE A level or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
School secretaries | Degree or equivalent | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Prod works  maintenance managers | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Pharmaceutical dispensers | Other qualification | Degree or equivalent
Bar staff | GCE A level or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Occupl hygnists  health sfty offs | Higher education | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Managers in construction | Degree or equivalent | Other qualification
Medical practitioners | Degree or equivalent | Other qualification
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Sewing machinists | Other qualification | Degree or equivalent
Car advis  voction guidnce spcils | Degree or equivalent | Other qualification
Engineering professionals nec | Degree or equivalent | Other qualification
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Civil Serv admin offcrs and assists | GCE A level or equivalent | Other qualification
Engineering technicians | Higher education | GCSE grades A*-C or equivalent
Mobile machine drivers  operatives | GCSE grades A*-C or equivalent | Other qualification
Social services managers | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
educal assistants | GCE A level or equivalent | Degree or equivalent
Hotel and accommodation managers | GCE A level or equivalent | Other qualification
Police offcrs sergeant and below | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
Nurses | GCE A level or equivalent | Degree or equivalent
Care assistants and home carers | Other qualification | Other qualification
Senior officials in local gov | GCE A level or equivalent | Other qualification
Info  communication technol mngers | Degree or equivalent | Other qualification
Playgroup leaders  assistants | Degree or equivalent | Other qualification
Retail and wholesale managers | GCSE grades A*-C or equivalent | Degree or equivalent
Traffic wardens | Other qualification | Other qualification
Housing and welfare officers | Higher education | Degree or equivalent
Nursing auxiliaries and assistants | Higher education | Other qualification
Cleaners domestics | Other qualification | Other qualification
Care assistants and home carers | Other qualification | Other qualification
Sales and retail assistants | Higher education | Other qualification
Indust cleaning process occupations | Other qualification | Other qualification
Librarians | Degree or equivalent | Other qualification
Motor mechanics auto engineers | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Mngmnt cons actuar econs  statn | GCSE grades A*-C or equivalent | Other qualification
Customer care occupations | Higher education | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Bakers flour confectioners | Other qualification | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Physts geologists  meteorologists | Degree or equivalent | Other qualification
Researchers nec | Degree or equivalent | Other qualification
Hospital porters | Other qualification | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Pensions and insurance clrks | GCSE grades A*-C or equivalent | Other qualification
Directors  chief execs of maj orgs | Degree or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Retail cashierscheckout operators | GCSE grades A*-C or equivalent | Other qualification
Medical radiographers | Higher education | Other qualification
Graphic designers | Degree or equivalent | Degree or equivalent
Medical and dental technicians | Degree or equivalent | Other qualification
Chartrd surveyors not qntity surv | Higher education | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Playgroup leaders  assistants | Degree or equivalent | Other qualification
Electrical engineers | Other qualification | GCSE grades A*-C or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Electrical engineers | Degree or equivalent | GCSE grades A*-C or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Nursery nurses | GCE A level or equivalent | Other qualification
Teaching professionals nec | Degree or equivalent | Other qualification
educ officersschool inspectrs | GCE A level or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Plumb hea  ventilating engineers | GCSE grades A*-C or equivalent | Other qualification
Legal associate professionals | GCSE grades A*-C or equivalent | Other qualification
Customer care occupations | Higher education | Other qualification
Agricult and fishing trades nec | GCSE grades A*-C or equivalent | Other qualification
Sports and fitness occupations nec | GCSE grades A*-C or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Care assistants and home carers | Higher education | Other qualification
Van drivers | GCSE grades A*-C or equivalent | Other qualification
Retail cashierscheckout operators | GCE A level or equivalent | Other qualification
Call centre agents  operators | GCSE grades A*-C or equivalent | Other qualification
Medical practitioners | Degree or equivalent | Other qualification
IT strategy and planning prfsnals | Degree or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCSE grades A*-C or equivalent | Other qualification
Electricians electrical fitters | GCE A level or equivalent | Other qualification
Social workers | GCSE grades A*-C or equivalent | Degree or equivalent
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Receptionists | GCSE grades A*-C or equivalent | Other qualification
Plasterers | GCE A level or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Nurses | Higher education | Degree or equivalent
Housing and welfare officers | Degree or equivalent | Degree or equivalent
Oth good hndlng  storage occup nec | Other qualification | Other qualification
Customer care managers | GCSE grades A*-C or equivalent | Degree or equivalent
